company_id,type,rule_id,text,confidence_pct
1,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
1,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
2,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
2,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
3,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
3,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
4,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
4,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
5,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
5,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
6,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
6,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
7,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
7,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
8,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
8,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
9,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
9,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
10,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
10,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
11,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
11,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
12,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
12,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
13,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
13,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
14,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
14,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
15,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
15,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
16,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
16,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
17,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
17,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
18,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
18,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
19,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
19,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
20,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
20,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
21,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
21,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
22,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95.0
22,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns.,85.0
